type,severity,correct,total,accuracy,time
snow,1,7,102,0.0686,20.84640407562256
snow,1,5,100,0.0500,19.202265739440918
snow,1,4,100,0.0400,19.453134775161743
snow,1,10,101,0.0990,19.158528566360474
snow,1,2,100,0.0200,18.282722234725952
frost,1,9,101,0.0891,17.947065114974976
frost,1,6,102,0.0588,16.156387090682983
frost,1,7,101,0.0693,16.161659955978394
frost,1,10,101,0.0990,16.977343797683716
frost,1,15,102,0.1471,18.284363985061646
fog,1,4,100,0.0400,17.382279872894287
fog,1,12,101,0.1188,18.884965419769287
fog,1,6,101,0.0594,18.256436586380005
fog,1,8,102,0.0784,17.826746702194214
fog,1,8,100,0.0800,17.77592658996582
snow,5,0,100,0.0000,20.305898189544678
snow,5,0,101,0.0000,19.21892237663269
snow,5,0,101,0.0000,18.774275064468384
snow,5,2,100,0.0200,19.698399543762207
snow,5,1,100,0.0100,18.580403089523315
frost,5,2,102,0.0196,18.46338415145874
frost,5,3,100,0.0300,17.90075707435608
frost,5,9,101,0.0891,17.85366153717041
frost,5,2,101,0.0198,16.527215480804443
frost,5,4,100,0.0400,17.135793447494507
fog,5,1,105,0.0095,17.151047945022583
fog,5,5,100,0.0500,17.827449560165405
fog,5,6,100,0.0600,17.41091513633728
fog,5,7,100,0.0700,18.1590256690979
fog,5,6,100,0.0600,17.705087661743164
snow,2,2,103,0.0194,17.64646553993225
snow,2,0,100,0.0000,19.389444828033447
snow,2,1,100,0.0100,18.876270294189453
snow,2,1,101,0.0099,19.572797775268555
snow,2,1,102,0.0098,19.569544076919556
frost,2,4,100,0.0400,16.875221967697144
frost,2,8,102,0.0784,16.50049638748169
frost,2,5,101,0.0495,16.91763973236084
frost,2,6,102,0.0588,16.58076548576355
frost,2,6,100,0.0600,17.260817050933838
fog,2,2,100,0.0200,17.5249445438385
fog,2,8,103,0.0777,18.01539397239685
fog,2,6,102,0.0588,17.226435899734497
fog,2,4,100,0.0400,18.47443723678589
fog,2,7,101,0.0693,19.35804510116577
snow,3,2,101,0.0198,20.63938069343567
snow,3,2,100,0.0200,21.154248476028442
snow,3,2,100,0.0200,20.802090406417847
snow,3,4,105,0.0381,20.625914812088013
snow,3,2,100,0.0200,19.394962072372437
frost,3,3,100,0.0300,17.982541799545288
frost,3,6,103,0.0583,18.11733889579773
frost,3,8,100,0.0800,18.25919008255005
frost,3,3,101,0.0297,19.497169256210327
frost,3,7,100,0.0700,19.975000858306885
fog,3,1,101,0.0099,17.856115579605103
fog,3,4,101,0.0396,18.465230703353882
fog,3,3,101,0.0297,18.96288537979126
fog,3,6,101,0.0594,18.947336673736572
fog,3,4,101,0.0396,18.72982168197632
snow,4,3,100,0.0300,19.284425973892212
snow,4,1,101,0.0099,19.829631090164185
snow,4,2,101,0.0198,20.09646511077881
snow,4,0,103,0.0000,21.66516923904419
snow,4,6,101,0.0594,20.97678256034851
frost,4,3,102,0.0294,17.770245790481567
frost,4,2,103,0.0194,18.389140129089355
frost,4,5,100,0.0500,17.96422576904297
frost,4,4,100,0.0400,18.33564019203186
frost,4,10,100,0.1000,19.423086881637573
fog,4,9,101,0.0891,18.60311484336853
fog,4,9,100,0.0900,19.54947328567505
fog,4,3,101,0.0297,19.3857684135437
fog,4,3,101,0.0297,20.184128046035767
fog,4,7,100,0.0700,19.821020364761353
