epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.6378,4.94295,9.89549,4.34124,2e-05,0.00256,1e-05,0,4.20536,6.22142,3.92684,1.62865e-05,1.62865e-05,1.62865e-05
2,105.342,4.14772,8.29767,3.52885,0.00034,0.00599,0.00024,4e-05,3.40351,6.07238,3.03754,3.13281e-05,3.13281e-05,3.13281e-05
3,146.901,3.50427,7.44659,2.82731,0.00119,0.02924,0.00097,0.00031,3.06786,5.57149,2.61067,4.50761e-05,4.50761e-05,4.50761e-05
4,188.663,3.11016,6.71576,2.51178,0.00212,0.10167,0.00208,0.00084,2.78393,5.08824,2.38504,4.31788e-05,4.31788e-05,4.31788e-05
5,230.57,2.85508,6.17018,2.31374,0.29999,0.00968,0.00396,0.00167,2.53598,4.67626,2.1964,4.12384e-05,4.12384e-05,4.12384e-05
6,272.773,2.62513,5.67147,2.14075,0.22129,0.02552,0.00438,0.00218,2.30029,4.41718,2.05834,3.9298e-05,3.9298e-05,3.9298e-05
7,315.218,2.44879,5.34406,2.00247,0.30383,0.01759,0.00571,0.00286,2.16237,4.17094,1.88998,3.73576e-05,3.73576e-05,3.73576e-05
8,357.77,2.31916,5.0816,1.89356,0.35092,0.01922,0.00783,0.00433,2.02609,3.97503,1.78293,3.54172e-05,3.54172e-05,3.54172e-05
9,400.318,2.21324,4.88524,1.81684,0.34395,0.02762,0.01035,0.00568,1.92996,3.83379,1.70349,3.34768e-05,3.34768e-05,3.34768e-05
10,442.94,2.11785,4.69055,1.73426,0.36034,0.02534,0.01233,0.00692,1.85562,3.73218,1.64692,3.15364e-05,3.15364e-05,3.15364e-05
11,485.48,2.05417,4.58704,1.69965,0.36025,0.03485,0.0171,0.00963,1.79802,3.65679,1.59824,2.9596e-05,2.9596e-05,2.9596e-05
12,528.013,1.98796,4.47332,1.65277,0.44463,0.03297,0.01875,0.01123,1.73869,3.6068,1.56196,2.76556e-05,2.76556e-05,2.76556e-05
13,570.41,1.95317,4.40702,1.60983,0.36454,0.038,0.01978,0.01168,1.70033,3.53252,1.52951,2.57152e-05,2.57152e-05,2.57152e-05
14,612.931,1.89916,4.3198,1.58101,0.40399,0.04033,0.02221,0.01395,1.65881,3.48911,1.49427,2.37748e-05,2.37748e-05,2.37748e-05
15,655.671,1.88165,4.25153,1.56803,0.42241,0.04239,0.02363,0.01499,1.6218,3.46411,1.47327,2.18344e-05,2.18344e-05,2.18344e-05
16,699.292,1.77596,4.47663,1.59719,0.40285,0.04407,0.02384,0.01517,1.61846,3.41641,1.44845,1.9894e-05,1.9894e-05,1.9894e-05
17,740.17,1.73857,4.40956,1.55653,0.37387,0.04979,0.02546,0.01645,1.59775,3.38741,1.42788,1.79536e-05,1.79536e-05,1.79536e-05
18,780.93,1.71624,4.33998,1.535,0.36094,0.05068,0.02749,0.01795,1.57637,3.36403,1.41794,1.60132e-05,1.60132e-05,1.60132e-05
19,821.766,1.7085,4.29919,1.52731,0.38656,0.04648,0.02787,0.01809,1.56646,3.35133,1.40639,1.40728e-05,1.40728e-05,1.40728e-05
20,862.373,1.68448,4.26635,1.51699,0.36362,0.05608,0.02936,0.01946,1.55719,3.3311,1.39615,1.21324e-05,1.21324e-05,1.21324e-05
21,903.002,1.67413,4.23612,1.5084,0.37454,0.0553,0.03066,0.02051,1.54033,3.31992,1.38679,1.0192e-05,1.0192e-05,1.0192e-05
22,943.986,1.6777,4.23494,1.50659,0.35737,0.05691,0.0305,0.02026,1.54056,3.31605,1.38327,8.2516e-06,8.2516e-06,8.2516e-06
23,984.787,1.65182,4.19459,1.48629,0.37332,0.05852,0.03096,0.02071,1.5295,3.30308,1.37797,6.3112e-06,6.3112e-06,6.3112e-06
24,1025.41,1.65739,4.188,1.49181,0.38714,0.05799,0.03116,0.02082,1.52644,3.30287,1.37358,4.3708e-06,4.3708e-06,4.3708e-06
25,1066.05,1.65273,4.1782,1.49255,0.38578,0.05753,0.03139,0.02112,1.52567,3.29653,1.37242,2.4304e-06,2.4304e-06,2.4304e-06
